date,G,PG,PG-13,R,Not Rated,20th Century Fox,All Others,Lionsgate,Paramount Pictures,Sony Pictures,STX Entertainment,Universal,Walt Disney,Warner Bros.,daily_total
6/30/2018,49678,17849426,36078168,11795151,1028366,2456976,2490886,5256650,342428,6761664,218697,23920935,19461351,5891202,66800789
7/1/2018,41716,15169387,29292147,9918199,927739,2055479,2201384,4002818,282429,5761152,152899,19770045,16445929,4677053,55349188
7/2/2018,31665,7704622,13382568,4577230,489888,1096475,1134072,1845605,173627,2352161,89127,8596415,8449776,2448715,26185973
7/3/2018,30730,10326822,18323644,5594975,606720,1308023,1507664,2534267,194706,2818957,111203,11913890,11323211,3170970,34882891
7/4/2018,27279,9722316,18163128,14649550,627043,1303745,1575993,2218060,228622,2824469,119985,20828720,10710517,3379205,43189316
7/5/2018,37053,7228414,11377108,8079979,296038,696254,1179078,1624958,160658,1825140,76742,11707455,7820597,1927710,27018592
7/6/2018,42761,9872007,48888288,11264725,376704,903810,2446129,2167555,176715,2470897,95070,15265475,44100037,2818797,70444485
7/7/2018,49454,10793940,41824663,12769021,497793,1173596,2858018,2562448,225166,3160058,119241,17392960,35017051,3426333,65934871
7/8/2018,38961,8150896,32191342,9939819,419045,879134,2146555,1876640,167725,2619928,73655,13453060,27140419,2382947,50740063
7/9/2018,28179,3589540,12747815,4525912,147481,381125,986631,837765,92091,1007175,34949,5761870,10803052,1134269,21038927
7/10/2018,30328,5357929,18259145,5634802,247149,536597,1144879,1240048,124844,1278969,47025,7875780,15689007,1592204,29529353
7/11/2018,33849,3663822,11572160,4000153,131499,354011,1005269,806921,110240,922871,38296,5215930,9752748,1195197,19401483
7/12/2018,39126,3410263,10199313,3417910,102963,262827,856290,652043,91159,814367,35419,4681015,8889117,887338,17169575
7/13/2018,28502,21947622,25509951,6673265,150619,379845,3162928,936081,103716,18071177,57946,16910525,13417185,1270556,54309959
7/14/2018,26881,22287592,32023618,8142030,211852,552786,3890785,1303220,148738,16931247,78328,19175395,18791837,1819637,62691973
7/15/2018,20415,17276635,23848962,6378324,161505,368340,3106728,947324,117715,13323506,44733,14331055,14194765,1251675,47685841
7/16/2018,0,7411861,9794358,2997346,54525,157759,1363529,435049,60838,5562041,21526,6032975,5968819,655554,20258090
7/17/2018,0,12097267,14798506,3820243,111333,237873,1636390,663531,80943,9215810,31183,8912700,9122981,925938,30827349
7/18/2018,0,7071890,9295345,2786188,57525,151912,1344505,423929,70025,5246629,23243,5596465,5710239,644001,19210948
7/19/2018,0,6552191,8065851,2223722,44644,119714,1160288,326300,64674,4714744,19853,4782690,5235474,462671,16886408
7/20/2018,0,10201386,26954967,18625419,77494,190667,3706326,579237,77144,20679180,22259,22005360,7882104,716989,55859266
7/21/2018,0,14376829,29663765,19006539,111534,290394,4477880,726226,108104,22790661,29471,22104965,11620575,1010391,63158667
7/22/2018,0,12005529,24735921,15081752,86594,218416,3799193,539819,86741,18318482,23182,18570610,9594790,758563,51909796
7/23/2018,0,5255228,11364084,6166407,23871,89638,1801062,255597,46277,7254134,9245,8762450,4207958,383229,22809590
7/24/2018,0,8021836,15883420,8014399,46680,128348,2132178,335972,60990,10684807,12375,12166305,5967213,478147,31966335
7/25/2018,0,5700685,11483204,5498994,25411,94377,1811325,250125,56216,6994991,9493,8762415,4341208,388144,22708294
7/26/2018,0,4691374,9184797,4050642,17169,66270,1322901,171205,54170,5531270,8937,6932565,3592775,263889,17943982
7/27/2018,0,10265137,34688275,7032986,28041,100315,2185941,601794,22861178,7926371,11382,8976400,4831008,4520050,52014439
7/28/2018,0,11472124,37132674,9417855,45432,147734,2827002,680056,21500858,10901608,14703,11462415,6641188,3892521,58068085
7/29/2018,0,8655303,29214458,7025435,34330,109466,2105600,483487,17069641,8146542,8905,8947870,5111415,2946600,44929526
7/30/2018,0,4269874,12939100,3035810,11667,46732,1101807,245716,6873270,3532989,4367,4596255,2513001,1342314,20256451
7/31/2018,0,6858768,18398130,4169893,23185,65304,1359066,360242,9489462,5485308,6732,6753930,3680361,2249571,29449976
8/1/2018,0,4911627,13036291,3072597,15671,52128,1235368,269507,6360901,3885789,4956,5017725,2790348,1419464,21036186
8/2/2018,0,4091825,11156056,2428237,10162,40274,911008,197845,5666673,3330379,8253,3949615,2433718,1148515,17686280
8/3/2018,0,14911151,20239193,9544799,40891,2387801,2874528,5261999,9865252,4958545,0,4876190,12947360,1564359,44736034
8/4/2018,0,16069744,27263704,10351915,60728,2104214,3232488,4455757,14752485,7093583,0,6464650,13493316,2149598,53746091
8/5/2018,0,11636598,20113900,7624674,48744,1559723,2474510,3241000,10753945,5087688,0,4796935,9973353,1536762,39423916
8/6/2018,0,5959832,9284242,3573879,21447,786432,1293502,1551223,4469991,2411196,0,2565155,4925460,836441,18839400
8/7/2018,0,8530629,12050980,4517945,26144,1147463,1432931,2105042,5674262,3336801,0,3399865,6849045,1180289,25125698
8/8/2018,0,6254802,8196606,3400812,15964,679934,1984563,1445263,3690819,2334614,0,2403680,4570907,758404,17868184
8/9/2018,0,5280495,6993402,2633090,10369,503281,1339226,1226078,3356219,1924114,0,1956135,4036853,575450,14917356
8/10/2018,0,7260340,31689295,7819604,12779,661325,5619112,1948233,5320219,7745338,0,2537285,5771036,17179470,46782018
8/11/2018,0,10980811,35790014,10586158,18496,943808,7112714,2889837,8401242,8446764,0,3611020,8758310,17211784,57375479
8/12/2018,0,7883981,26141929,7489815,13362,643568,5241887,1933999,5630629,5903751,0,2659915,6284447,13230891,41529087
8/13/2018,0,3755177,10530618,3081034,3760,303535,2299900,808368,2110799,2735466,0,1344200,2904959,4863362,17370589
8/14/2018,0,5389982,14138879,4018406,7991,443184,2916069,1144431,3285530,3405189,0,1833895,4076251,6450709,23555258
8/15/2018,0,3210447,13133516,2565116,2657,211283,1862667,635759,1835262,2055342,0,1116040,2562761,8632622,18911736
8/16/2018,0,2839589,11211584,2535983,3250,148492,1942176,534169,1687756,1827833,0,1009735,2283862,7156383,16590406
8/17/2018,0,4732048,23432097,9296478,10893,82276,2895974,829778,3008971,6578614,5245939,1450685,4040209,13339070,37471516
8/18/2018,0,6849980,34011829,11004205,11902,143037,4332371,1193146,4602087,9099070,4927369,2088190,5791949,19700697,51877916
8/19/2018,0,5047570,25458646,8126689,10626,88626,3505373,808432,3162289,6197216,3537517,1477805,4179417,15686856,38643531
8/20/2018,0,1974895,9440893,2983346,1960,31328,1236280,309150,1068304,2176242,1396145,643180,1594764,5945701,14401094
8/21/2018,0,3206693,14231065,4172133,1562,44643,1814429,492813,1715951,3431554,1959985,953910,2529519,8668649,21611453
8/22/2018,0,2194938,9647381,2678760,1979,30435,1432860,326051,1137791,2361044,1073846,693045,1680971,5787015,14523058
8/23/2018,0,1564713,8127362,2388485,1448,21010,1092641,245899,966546,1709805,1000153,537355,1289509,5219090,12082008
8/24/2018,0,3597081,16885530,8684996,6263,30912,3308675,351186,2263164,3691343,5653955,856200,2539592,10478843,29173870
8/25/2018,0,6189031,26005836,10537403,6173,56025,4772749,505911,3366295,5859568,6032425,1324700,4479506,16341264,42738443
8/26/2018,0,4032896,18354681,7196186,6215,32023,3212180,299194,2457926,4263550,4212087,880125,2804189,11428704,29589978
8/27/2018,0,1370410,6108017,2596123,1232,10595,1145783,116901,725066,1333708,1433084,360985,989703,3959957,10075782
8/28/2018,0,2150635,9302926,3387826,1526,13827,1689639,155428,1166570,1921910,1925376,480205,1455528,6034430,14842913
8/29/2018,0,1368883,6969276,2348744,1897,10190,2118228,99931,760293,1221802,1283317,338050,986074,3870915,10688800
8/30/2018,0,1293432,6074880,2209950,1160,10743,1851341,83207,706555,1065512,1120830,297930,987264,3456040,9579422
8/31/2018,0,2782495,17635801,4215930,2750,17823,3830670,1694848,1561807,4189104,2074319,690860,2295174,8282371,24636976
9/1/2018,0,4895014,24785992,6249820,2840,39847,5328373,1812341,2718970,5838532,2981015,1179325,3927352,12107911,35933666
9/2/2018,0,4898355,25719257,6324245,2861,31726,5441567,1828925,2751722,6032605,3093316,1203555,3948599,12612703,36944718
9/3/2018,0,4786279,20365649,4747015,2763,21408,4826735,1400140,2282672,4647263,2058974,881095,3720729,10062690,29901706
9/4/2018,0,978426,6787019,1795386,1080,5242,1558805,505790,735697,1656375,880253,273830,796886,3149033,9561911
9/5/2018,0,581406,4571688,1263525,1567,4550,1181280,278206,441874,1108897,558876,195790,484765,2163948,6418186
9/6/2018,0,483425,3796726,1039205,223647,4008,1227030,257715,477496,794283,401792,156500,415230,1808949,5543003
9/7/2018,0,1730089,10114548,28801882,10881,11137,2670640,403208,980481,2514258,5301986,272800,1137970,27364920,40657400
9/8/2018,0,3712100,17431149,28306433,9551,23184,4170373,761290,1852560,4385265,6280149,546410,2605924,28834078,49459233
9/9/2018,0,2420268,10136508,17473200,223483,12160,2644639,588873,1052757,2670409,4130000,327425,1676692,17150504,30253459
9/10/2018,0,753444,3582829,5408109,165320,3115,1200904,152464,430172,983298,1286070,118025,543746,5191908,9909702
9/11/2018,0,811941,4730224,7636466,6396,3396,1362152,228085,550467,1194651,2092584,154640,508959,7090093,13185027
9/12/2018,0,489052,3115283,4394778,3125,3082,949236,139759,357898,789728,1308465,108325,325799,4019946,8002238
9/13/2018,0,433194,2674883,3683193,3290,3404,775050,87276,279235,689230,1009064,92840,295081,3563380,6794560
9/14/2018,0,975381,7169177,28206706,8873,10315159,2064026,6055327,611344,5045552,1827439,184350,735428,9521512,36360137
9/15/2018,0,2061959,10761735,29486926,10289,8413741,2675504,6432339,1101629,5628359,2834280,331130,1579426,13324501,42320909
9/16/2018,0,1365642,6524560,18992709,8937,5942464,1671464,3904295,572252,3754160,1716149,206715,984866,8139483,26891848
9/17/2018,0,326273,1981836,6122727,4151,1902963,668004,1307797,183189,1244655,542306,66890,247140,2272043,8434987
9/18/2018,0,428368,3211215,9252040,4151,2504273,913601,2356765,292851,1975773,1010568,98220,309339,3434384,12895774
9/19/2018,0,413800,2268009,5702212,729398,1466571,1400177,1366600,219538,1363669,557855,79170,302619,2357220,9113419
9/20/2018,0,250079,1806438,4878538,9243,1237295,578100,1270370,173527,1036527,480171,65525,176998,1925785,6944298
9/21/2018,0,8320401,4351735,14082776,8093,2537491,3300368,3321446,324800,2380415,1087991,7952265,430457,5427772,26763005
9/22/2018,0,12634814,6988852,19916060,12222,4087255,3805118,4523934,558957,3591111,1704689,11788645,906199,8586040,39551948
9/23/2018,0,8053030,3795459,11868887,11254,2551713,2527601,2614957,279056,2092288,1003088,7463255,537368,4659304,23728630
9/24/2018,0,1396120,1256587,3833406,8048,741369,972162,838552,100686,719214,322742,1270365,132298,1396773,6494161
9/25/2018,0,2447245,1836931,6933240,2176,1094686,2301023,1450357,150231,1137236,622879,2290345,170116,2002719,11219592
9/26/2018,0,1283369,1184823,4828438,6299,671693,1816400,1054161,99701,760876,326105,1177110,124309,1272574,7302929
9/27/2018,0,1130507,932051,3674922,3011,514922,1392087,779569,80835,503797,232203,1061600,84843,1090635,5740491
9/28/2018,0,9776721,12380936,9186427,206815,1018472,4157400,2105601,170876,1124769,512765,12684800,213799,9562417,31550899
9/29/2018,0,16241631,15380010,13638258,323419,1717155,5815414,2856189,294891,1694071,809694,17245910,405234,14744760,45583318
9/30/2018,0,10690776,8761609,7377476,225770,1125199,2864536,1629394,159186,1002724,476520,10175255,257294,9365523,27055631
10/1/2018,0,1785856,2429100,2818781,45886,326905,1312290,539884,52564,360572,200899,2344360,68562,1873587,7079623
10/2/2018,0,3074558,3926094,4793711,101696,470687,2580875,922555,86735,536988,261870,3913020,88235,3035094,11896059
10/3/2018,0,1647537,2333681,2469190,52058,306079,1056653,559417,55446,354304,159428,2193170,68674,1749295,6502466
10/4/2018,0,1519732,1857107,2282893,37794,187141,1124504,564531,43798,254528,110072,1750475,63546,1598931,5697526
10/5/2018,0,5463180,37580777,19149706,42975,416093,1611281,1046237,87037,32904355,132242,5271785,192327,20575281,62236638
10/6/2018,0,9851203,33879435,19801874,56448,585192,2088778,1413994,134021,26928007,202883,8539425,362314,23334346,63588960
10/7/2018,0,7436672,26675100,15893589,49700,458108,1651196,990612,100518,21766177,138681,6097280,295335,18557154,50055061
10/8/2018,0,4693241,12235043,8525533,258643,231678,1039531,509209,69271,9784811,82901,3135840,238934,10620285,25712460
10/9/2018,0,2178487,10254245,7646297,11224,191332,694413,467804,43575,8374174,76894,2117285,116802,8007974,20090253
10/10/2018,0,1449638,6138193,5795348,14011,137359,596428,339703,32328,4843048,58571,1457700,94240,5837813,13397190
10/11/2018,0,1416750,5557379,5641062,10962,96584,592963,347337,31151,4342220,42806,1340165,94730,5738197,12626153
10/12/2018,0,8261041,19790798,13054444,36653,3387386,1869177,420582,45302,14747039,51267,8968860,116993,11536330,41142936
10/13/2018,0,12955507,27778427,16925710,55986,3497656,2246451,589385,71758,22207955,86231,11663315,203920,17148959,57715630
10/14/2018,0,8134780,17560658,11169192,44604,2199897,1550258,319734,40466,14370296,49697,6969385,124581,11284920,36909234
10/15/2018,0,1752522,5419466,4341945,14126,994615,686602,136479,15668,3663221,18987,2189875,39394,3783218,11528059
10/16/2018,0,2306254,7180172,5759914,13774,1235362,952401,185562,20664,4970596,23761,2920380,39753,4911635,15260114
10/17/2018,0,1335527,4701863,4099695,14993,770004,716673,130100,17047,2873908,19040,1994150,33245,3597911,10152078
10/18/2018,0,1566873,4260065,3613436,16125,683678,617651,102340,17869,2838432,16197,1739050,46378,3394904,9456499
10/19/2018,337,4792128,13021113,40823543,29660,3545754,2143964,110565,0,7677747,21361,37453965,77761,7635664,58666781
10/20/2018,1030,8393641,18887430,38052613,40619,4597241,2654096,157805,0,12445282,33684,33854680,131057,11501488,65375333
10/21/2018,1035,5342275,11731792,23356055,33126,2944114,1904096,91519,0,7894171,22217,19945940,76467,7585759,40464283
10/22/2018,39,989420,3338431,7327818,12802,954689,791728,38581,0,1765401,7813,5758610,21102,2330586,11668510
10/23/2018,275,1388673,4978513,10066723,15127,1447938,1062473,52099,0,2596499,10228,8025400,21733,3232941,16449311
10/24/2018,79,792926,3280343,6453691,15172,938697,860128,43389,0,1524505,8025,4798365,19290,2349812,10542211
10/25/2018,642,948059,3235911,6518865,16186,870956,778432,39672,0,1640893,8259,4903095,21807,2456549,10719663
10/26/2018,0,3768437,8436931,19338661,23907,2010015,4250760,2604011,0,4704970,12405,12455350,66850,5463575,31567936
10/27/2018,165,6892088,12886040,24833482,34261,3018093,4500744,2518155,0,8220005,18612,17792520,115090,8462817,44646036
10/28/2018,270,4395447,7980601,15461994,34472,1835073,3271773,1682196,0,5180516,13941,10323765,74821,5490699,27872784
10/29/2018,98,797004,2396667,5181223,14089,548531,1240709,636317,0,1181981,4351,3152570,18346,1606276,8389081
10/30/2018,0,1209823,3464867,7614681,15949,831431,1677347,992275,0,1760425,4885,4795580,20494,2222883,12305320
10/31/2018,0,1267559,2928171,8274085,15640,571772,1334998,684630,0,1682824,4802,6506835,24825,1674769,12485455
11/1/2018,117,779098,2244349,4121729,16101,453445,1178012,543702,0,1107815,4588,2104800,22473,1746559,7161394
11/2/2018,125,7946624,24029921,14631594,19017,19837263,3051532,1086428,4842103,2938634,0,4780630,5967266,4123425,46627281
11/3/2018,508,13204009,27355763,19129804,28088,20548210,3904277,1523501,5665135,5468399,0,7019180,8797552,6791918,59718172
11/4/2018,0,8768656,18476195,11289379,24233,14357271,2660437,983831,3235873,3368726,0,3732625,5896555,4323145,38558463
11/5/2018,0,1703206,6020314,3580577,9298,4689568,1010403,350756,910133,833274,0,1111435,1116715,1291111,11313395
11/6/2018,0,4033524,8827929,5327449,9368,6802623,1322873,565518,1601065,1616120,0,1607575,2561900,2120596,18198270
11/7/2018,0,1342795,5414430,3374408,8857,4204531,1057405,359862,767204,700930,0,900210,891481,1258867,10140490
11/8/2018,0,1229057,4846102,2976362,274870,3762174,1143725,264916,714595,671299,0,732680,850691,1186311,9326391
11/9/2018,0,21763800,11308232,13767758,378727,9024857,2273453,230311,5593735,4537431,0,20412790,2435722,2710218,47218517
11/10/2018,0,33348783,17782621,17166107,497284,14046793,3311961,334482,6675513,5451248,0,30212260,4515464,4247074,68794795
11/11/2018,0,25830157,12795496,11706629,371866,10293770,2421757,230449,4569102,3747372,0,23171805,3323688,2946205,50704148
11/12/2018,0,13153709,6130966,5640869,13509,4790298,1048910,136969,2125696,2012189,0,11436560,1739460,1648971,24939053
11/13/2018,0,6025649,4422539,4921720,9761,3563761,865573,116198,1876295,1568710,0,5470580,855554,1062998,15379669
11/14/2018,0,3281485,2983115,3181100,11133,2372142,671164,82984,1120959,940002,0,3013930,473475,782177,9456833
11/15/2018,0,3059719,2333720,2335620,7531,1902769,521811,58151,823099,664795,0,2738395,414644,612926,7736590
11/16/2018,0,10223836,35534072,9165206,10885,8728717,1371560,34033,6194324,1294803,0,9355696,1148121,26806745,54933999
11/17/2018,0,19655560,36052451,12569195,16575,12150933,2012330,47735,8495441,2092729,0,17874196,2187415,23433002,68293781
11/18/2018,0,14470090,25735179,8239134,14819,8341615,1441090,36788,5820874,1342428,0,13126822,1551330,16798275,48459222
11/19/2018,0,5416171,9100962,3213340,5487,3158196,614371,26514,2142326,568672,0,4891461,642549,5691871,17735960
11/20/2018,0,7796547,12444233,3718071,6534,4165527,640268,24429,3020325,603931,0,6999866,866260,7644779,23965385
11/21/2018,0,25982104,28103100,2834233,6543,4186263,12141270,3171021,2702894,432299,0,7981695,18894945,7415593,56925980
11/22/2018,0,15377545,23632560,2850820,3965,4069053,9313034,1953273,2986046,347957,0,5821005,10615256,6759266,41864890
11/23/2018,0,34620188,42031764,6471846,6585,8424375,15523532,3508339,5416356,673104,0,13845640,22823686,12915351,83130383
11/24/2018,0,34097668,42055024,6766413,9533,8858606,15081640,3586823,5798722,732267,0,13967565,22240281,12662734,82928638
11/25/2018,0,21325599,24189151,4008902,7648,5276228,8708021,2142979,3108106,407556,0,8588130,14033665,7266615,49531300
11/26/2018,0,3731418,6602018,1375764,2664,1591000,2426816,630949,863744,160474,0,1812600,2394677,1831604,11711864
11/27/2018,0,5250696,9422829,1962928,1945,2327264,3282465,978264,1355850,212598,0,2529330,3423245,2529382,16638398
11/28/2018,0,2859137,6031922,1541064,3002,1602358,2228101,554525,830914,159886,0,1648700,1778835,1631806,10435125
11/29/2018,0,3117389,5928166,1269283,3473,1540296,2195207,587094,818414,142448,0,1663225,1778773,1592854,10318311
11/30/2018,0,10078610,15329163,5522909,7713,3610950,5895344,1362885,2349202,2811581,0,5169150,6041813,3697470,30938395
12/1/2018,0,21099620,23487488,6583176,3631,5547517,8625727,2064401,3534229,2727794,0,10199265,12526220,5948762,51173915
12/2/2018,0,14150141,14500934,4151979,3350,3445104,5246000,1354338,2074330,1732245,0,6781795,8371810,3800782,32806404
12/3/2018,0,2145667,3970706,1368880,5022,1067278,1424391,376661,565303,512632,0,1283100,1246699,1014211,7490275
12/4/2018,0,3951880,6616333,2085190,1664,1745403,2159297,683162,1057861,770867,0,2313575,2303788,1621114,12655067
12/5/2018,0,2588915,4586054,1482360,1713,1329366,1706998,431407,680299,495619,0,1558520,1339273,1117560,8659042
12/6/2018,0,2253890,4262933,1439567,1939,1171216,1473848,403657,659858,467292,0,1518695,1208740,1055023,7958329
12/7/2018,0,7143896,10370819,3907040,4890,2609246,4065710,960499,1717482,1072958,0,4738045,3748705,2514000,21426645
12/8/2018,0,15671477,17248712,5601073,3260,4257173,6518861,1597772,2835942,1596547,0,9122810,8274368,4321049,38524522
12/9/2018,0,10034594,10360682,3544608,2597,2564165,3696403,973723,1716208,990700,0,5882680,5350732,2767870,23942481
12/10/2018,0,1856261,3266973,1344114,2062,889060,1209192,307121,506524,344086,0,1405115,949176,859136,6469410
12/11/2018,0,3197179,5149080,1861419,1307,1369523,1753768,509428,857647,488117,0,2307165,1645147,1278190,10208985
12/12/2018,0,1912830,4268299,1355787,1904,1860612,1210951,295611,541896,327445,0,1490045,927109,885151,7538820
12/13/2018,0,1816237,3521288,1118547,1492,1230489,1149828,235486,510123,285648,0,1466555,810061,769374,6457564
12/14/2018,0,17706377,9724183,8367858,595,2332515,3079719,355512,1116859,13073324,0,6408395,2229608,7203081,35799013
12/15/2018,0,22986578,13568259,10135553,1080,3570087,4375964,503903,1720265,13580934,0,9410290,4559345,8970682,46691470
12/16/2018,0,16427356,9093562,7101600,947,2428486,2910161,356616,1104034,10068264,0,6406040,3051533,6298331,32623465
12/17/2018,0,4510401,3345350,5211220,271,912179,1174705,136077,382864,2934965,0,2052105,706739,4767608,13067242
12/18/2018,0,7324209,5103243,4116506,239,1329386,1654819,228192,631698,4528932,0,3283615,1224531,3663024,16544197
12/19/2018,0,9631428,3245201,2716668,695,913241,1186750,103635,370932,2927891,0,2223345,5563564,2304634,15593992
12/20/2018,0,9357855,2495762,2472865,1245,685454,974868,51651,251621,2962802,0,2264225,4955034,2182072,14327727
12/21/2018,0,15281781,42240574,4497065,181,779942,2100023,26304,8686286,4850277,2480546,4157695,8083902,30854626,62019601
12/22/2018,0,19887757,34910271,5732600,171,1096248,2567996,33892,7260664,6259755,2151006,5159825,10516501,25484912,60530799
12/23/2018,0,18281115,30685667,4863467,342,1036822,2167770,27585,6355792,5494046,1858431,4691510,9830962,22367673,53830591
12/24/2018,0,13073987,18228944,3256510,85,654865,1302890,14801,3881871,3364358,1001631,3560725,7386335,13392050,34559526
12/25/2018,0,20925653,45273987,12191089,427,576758,8261271,28413,9286017,12101921,3069572,4621955,13186368,27258881,78391156
12/26/2018,0,20585699,32353285,8469841,325,627721,5499073,30532,6555836,9426233,2052679,3407890,12907505,20901681,61409150
12/27/2018,0,19922354,28131387,10660743,132,567376,4634761,31249,6025263,8407576,1950197,3225160,12284887,21588147,58714616
12/28/2018,0,21201476,32921722,9011815,514685,812198,6165712,37268,7118683,9132119,2422340,3352950,13079033,21529395,63649698
12/29/2018,0,19823561,35741942,9773879,615097,884573,6692335,42496,7846999,9107718,2657458,3285515,11889090,23548295,65954479
12/30/2018,0,17305935,31347238,8535226,633278,801760,5856355,31715,6894619,8116063,2279893,2733420,10288711,20819141,57821677
12/31/2018,0,13285472,20456431,7519023,352374,632929,4629009,21339,4517029,5473285,1621189,2302360,8407759,14008401,41613300
